City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
161,Jalu,29.0331,21.5482,84.7,24,0,8.1,LY,clear sky
162,Nantucket,41.2835,-70.0995,78.94,90,90,12.66,US,overcast clouds
163,Borujerd,33.8973,48.7516,69.33,18,0,4.45,IR,clear sky
164,Barrow,71.2906,-156.7887,33.82,93,90,10.36,US,mist
165,Victoria,22.2855,114.1577,85.32,85,1,1.01,HK,light rain
166,Jianhu,29.9799,120.5712,69.75,84,0,1.83,CN,clear sky
167,Jabinyanah,35.035,10.9081,85.8,57,16,11.45,TN,few clouds
168,Miraflores,19.2167,-98.8083,70.56,51,83,3.29,MX,broken clouds
169,Yelan-Kolenovskiy,51.1632,41.151,56.79,46,96,9.06,RU,light rain
170,Zhigansk,66.7697,123.3711,39.72,80,100,12.57,RU,overcast clouds
171,San Patricio,28.017,-97.5169,93.61,51,13,4.25,US,few clouds
172,Clyde River,70.4692,-68.5914,31.57,64,93,0.43,CA,overcast clouds
173,Lagoa,39.05,-27.9833,68.04,71,99,10.31,PT,overcast clouds
174,Katsuura,35.1333,140.3,75.31,73,98,21.52,JP,light rain
175,Mehamn,71.0357,27.8492,46.58,81,0,12.66,NO,clear sky
176,Hami,42.8,93.45,75.94,23,100,7.81,CN,overcast clouds
177,Te Anau,-45.4167,167.7167,31.6,93,34,0.87,NZ,scattered clouds
178,Phan Thiet,10.9333,108.1,76.26,91,90,3.15,VN,overcast clouds
179,Klichka,50.4457,117.996,37.89,66,31,4.32,RU,scattered clouds
180,Gallup,35.5281,-108.7426,81.36,18,1,3.0,US,clear sky
181,Havoysund,70.9963,24.6622,46.63,78,100,6.31,NO,overcast clouds
182,Pringsewu,-5.3582,104.9744,73.71,92,98,1.63,ID,overcast clouds
183,Saint George,37.1041,-113.5841,95.47,15,1,1.01,US,clear sky
184,Bonavista,48.6499,-53.1147,59.68,65,5,8.7,CA,clear sky
185,Macau,22.2006,113.5461,85.06,89,20,6.91,MO,light rain
186,Wuwei,37.9281,102.6414,66.49,36,100,5.06,CN,overcast clouds
187,Leningradskiy,69.3833,178.4167,30.83,95,100,3.42,RU,light snow
188,Gamba,-2.65,10.0,75.54,90,100,9.13,GA,light rain
